44608	3872
2714	53501
1279	18305
4645	3872
51345	14093
3027	15607
52885	27262
1871	19272
27465	42284
50994	8058
6622	15708
12364	41263
15158	48525
14743	50151
57531	11241
549	36389
10886	21724
3787	6515
27471	34076
1095	14132
44397	53696
10250	41899
49407	24694
40704	21953
43437	55445
1402	16061
6496	3932
35771	54771
4090	53423
45947	39967
26921	13471
20309	22882
27676	27614
54862	39595
28976	44465
49512	2614
3027	51170
9292	46050
20733	24892
35068	51137
2382	4130
41113	28916
6868	5578
54223	47883
1590	38479
22006	40130
12036	44648
1871	17837
55351	45611
1509	57571
6496	38045
31491	14216
36373	19364
22285	1871
46231	39517
4634	34140
38172	38162
2323	41343
45624	10227
56520	44806
1397	2188
28278	52998
3240	55399
8117	26423
17998	54565
4097	12806
4097	53560
52273	2381
23550	22038
4841	25467
1610	6517
31175	6770
38425	10034
37260	52329
6872	2381
5727	21151
7654	53501
9766	16274
6496	9489
33720	509
45580	5370
19183	14093
43986	33529
2508	39756
6040	2381
26867	7653
4097	5771
50895	15508
4855	4376
5575	26006
6648	3760
4080	2238
6749	39419
9065	19186
8229	3401
17219	40752
14749	48504
5861	27614
1369	45936
7684	49214
13659	7209
1548	6819
7164	546
53696	21842
2072	58039
9903	53540
4993	19514
13617	12115
34629	7292
57589	40814
5497	52290
44005	46611
10884	14722
13289	9622
55201	29105
40270	50151
1402	7530
1087	50856
2858	48591
3881	46736
7235	13385
39999	59541
3027	3423
51157	58181
31567	31838
2527	14113
13051	19364
677	27861
44084	28251
2676	21484
6496	5389
48853	49581
6319	42551
43396	6311
4407	8583
5412	6155
6289	6262
41561	1803
2702	16902
2072	20377
16142	34341
45683	49645
42630	55507
40454	3440
21291	11615
27695	10431
27830	3931
5814	53657
6894	3935
5034	2716
41521	42560
6622	49740
1308	8375
2706	50292
5681	36146
37551	5681
4182	55618
11271	20957
21240	21842
44765	26789
4634	16298
4841	782
7116	27614
1419	6496
32877	2696
5263	27329
55459	15376
23242	37093
41558	55035
43434	49955
48376	2333
6332	4076
38810	6768
546	6608
51551	52394
6749	25420
1200	1871
6496	514
12272	18299
21956	26068
5313	53533
17444	50470
42310	3660
48663	2074
2404	33246
34127	39518
8645	45437
44281	7974
47207	10312
5210	19053
6496	9190
42741	18983
2440	47413
52142	55031
2238	6262
4950	13361
55450	15320
2382	4120
25425	668
5189	3782
3027	57738
4097	49821
18506	45934
53044	48680
3881	41587
36899	8165
6809	777
2710	53533
7194	6677
1665	2814
31254	23338
5497	24332
55417	16274
11376	21324
4097	53885
4470	5228
57378	12155
1829	31084
33268	19410
34756	45941
5187	12834
591	7433
27568	6708
43436	40752
10906	51043
4114	2605
47848	48997
579	53501
52039	52038
2752	39631
5114	28251
6330	3976
3027	58979
46649	50202
1397	48940
5313	4962
16914	18044
34629	5731
2003	20692
6252	2814
4993	45684
6300	5511
6496	5888
48420	8841
6234	33789
55334	56873
4097	27508
17444	43436
48576	47935
3670	14346
2716	5963
6007	42284
6805	22869
33669	14359
1402	5951
11376	49310
2546	32162
41607	1566
41973	45936
48586	23069
4993	3501
13892	9401
17998	56873
33871	49002
5187	35089
1529	47815
2072	5286
5104	6278
33097	50149
25369	53191
14869	59124
1397	43313
8479	38329
41860	26879
5292	26880
18720	11166
677	760
4097	24003
11288	13289
11376	54859
50643	18958
4634	43243
25924	27614
50234	15453
10122	57801
10885	47917
14672	8515
49187	45941
1852	6603
21892	48308
29212	18494
57531	18471
4097	3750
2636	2747
40010	41118
14672	51108
36899	22107
2009	3405
483	35288
49447	23301
3102	57644
4114	5888
20086	47661
6496	53036
40801	43187
41873	772
56952	10410
2747	11062
13567	54092
7490	54087
55131	394
47870	48055
15351	28216
6496	2605
46209	23301
2272	5788
1402	5088
6247	13665
36804	17044
2776	41496
9204	44037
7194	58766
22276	47100
13892	39667
3027	51649
36177	14757
54351	45567
33640	51649
17138	31926
49843	26701
591	5027
4090	54087
21324	3207
50726	41504
18518	52302
52955	35593
6391	58760
13439	25626
12023	15143
36679	2359
26562	30368
5974	49878
6860	18169
51133	6248
677	22109
57692	22011
4097	2491
20925	4723
2440	2932
42203	49538
25425	34541
17958	54087
8258	5672
337	2838
51255	40061
21258	9401
5060	49581
10525	8591
6215	46664
29797	45885
789	1864
55507	12830
37261	43434
38669	54771
6574	345
45762	1668
1279	6669
3976	26443
55200	412
25373	52342
46050	46048
5458	3836
6452	15354
27223	52636
47916	45936
28586	32538
47967	23415
8911	2725
27568	6496
31427	57111
5974	53501
41573	4115
40599	43891
50467	40089
55247	49949
20190	48062
25373	52683
23366	10387
2085	50215
36959	34939
29643	40208
48215	2491
34572	4672
3027	23069
4404	40752
5869	5731
17608	21430
4097	51099
3027	3054
41534	32915
1378	6496
989	10934
2544	27508
7194	26692
6330	37521
4993	2256
34455	53688
6331	11657
9051	34281
49103	2491
4114	24531
12498	54972
48666	3405
4114	514
43441	42121
43187	25908
6332	58541
23182	48683
5929	6590
52085	53082
48585	58181
1886	5025
4024	34419
1256	2246
29236	18518
4993	52780
6610	4011
1429	41801
10802	49186
6574	5678
33249	40536
5338	1706
24672	22280
3027	21563
4035	7653
20909	16876
50683	46423
12610	41784
4993	9957
35771	48194
47028	33249
6252	2829
20266	43304
6001	6543
29213	452
4841	49745
23224	18494
2072	57986
53486	40478
45881	45635
57788	55778
47872	21871
51072	57406
2747	1131
47464	56873
14124	54816
4470	40664
10886	19213
5405	5751
19691	45936
2221	41501
54250	44737
3037	26839
59602	5389
17870	33660
13847	14093
11137	28429
7194	3607
8361	48271
10312	34760
16057	24537
5060	50661
4035	1040
36593	52767
42754	5708
33424	2238
46218	3415
29726	22628
29126	38289
1975	45054
46577	16880
12191	45130
10695	42057
19769	53131
4097	25633
3146	40259
591	54092
54961	35290
8142	6768
22804	7658
2546	41263
6574	22903
13128	22098
32957	32956
41855	18938
3881	39137
45017	45936
47514	51589
4841	21143
29143	39631
53927	15376
3552	43882
47600	23753
59602	22784
1975	46664
36233	36232
3027	45830
5338	43891
4634	46352
1847	50762
